timestamp,open,high,low,close,volume,oi
2025-05-02T09:16:00,205.1,219.65,200.85,210.8,759600,209550
2025-05-02T09:17:00,209.1,209.1,199.45,201.9,542325,209550
2025-05-02T09:18:00,200.95,204.3,197.95,200.4,637050,872400
2025-05-02T09:19:00,199.75,203.55,195.5,201.5,499575,872400
2025-05-02T09:20:00,200.3,204.7,193.1,198.5,601800,872400
2025-05-02T09:21:00,198.9,205.2,188,196.8,593400,1232700
2025-05-02T09:22:00,201.25,204.15,191.95,195.75,590025,1232700
2025-05-02T09:23:00,198.6,205,191.35,191.7,512100,1232700
2025-05-02T09:24:00,192.75,196.3,182.9,194,552150,1508475
2025-05-02T09:25:00,192.95,195.5,187.25,190.5,487050,1508475
2025-05-02T09:26:00,189.4,189.4,172.7,173.25,703725,1508475
2025-05-02T09:27:00,173.15,179.35,170,172.1,710850,1860000
2025-05-02T09:28:00,171.5,171.5,157.1,157.1,650400,1860000
2025-05-02T09:29:00,156.85,157.25,147.3,149.2,806400,1860000
2025-05-02T09:30:00,150.15,152.15,138,138,859425,2160075
2025-05-02T09:31:00,137.55,143.6,132.35,142.85,637950,2160075
2025-05-02T09:32:00,143,145.6,141.1,144.35,542775,2160075
2025-05-02T09:33:00,142.85,144.45,137.8,140.6,259950,2424225
2025-05-02T09:34:00,140.1,140.15,131.95,136.2,389475,2424225
2025-05-02T09:35:00,135.8,141.6,133.75,138.25,293475,2424225
2025-05-02T09:36:00,138.25,138.25,134.1,135.85,201675,2628825
2025-05-02T09:37:00,136.3,141.35,135.35,135.95,242325,2628825
2025-05-02T09:38:00,136.65,140.7,134.35,136.3,183375,2628825
2025-05-02T09:39:00,137.55,138.7,128.45,128.45,256950,2746050
2025-05-02T09:40:00,129.35,129.5,123,126.8,584550,2746050
2025-05-02T09:41:00,126.55,131.7,125.95,126.4,248100,2746050
2025-05-02T09:42:00,125.9,128.05,124.9,126.6,182850,2809275
2025-05-02T09:43:00,127.95,136.45,127.6,134,288600,2809275
2025-05-02T09:44:00,133.15,133.45,128.95,129.1,207900,2809275
2025-05-02T09:45:00,128.6,131.75,126.2,130.2,294225,2867775
2025-05-02T09:46:00,130.6,135.25,130.6,135.25,195900,2867775
2025-05-02T09:47:00,135.1,135.1,129.2,133,170775,2867775
2025-05-02T09:48:00,132.6,134.4,128,132.5,242625,2927325
2025-05-02T09:49:00,132.75,132.75,120.85,127,359700,2927325
2025-05-02T09:50:00,127.7,130.85,124.6,130.1,218850,2927325
2025-05-02T09:51:00,130.5,131.5,127.85,129.1,147600,2876850
2025-05-02T09:52:00,129.15,132.95,128.55,132.95,138375,2876850
2025-05-02T09:53:00,132.85,133.4,126.4,127.9,173025,2876850
2025-05-02T09:54:00,127.8,130.55,125.9,126.85,149700,2888175
2025-05-02T09:55:00,126.35,127.25,122.3,127.25,298350,2888175
2025-05-02T09:56:00,127,127.6,125.05,125.9,128475,2888175
2025-05-02T09:57:00,126.6,127.3,122.55,123.65,180825,2885850
2025-05-02T09:58:00,123.2,126.4,123.2,124.65,87525,2885850
2025-05-02T09:59:00,125.45,126.6,124.4,125.9,108075,2885850
2025-05-02T10:00:00,125.55,126.05,122.7,124.35,133425,2910150
2025-05-02T10:01:00,124.3,127.35,124.05,125.45,113100,2910150
2025-05-02T10:02:00,125.15,126.85,118,126.05,279450,2910150
2025-05-02T10:03:00,126.55,130.5,126.45,130.5,174600,2908500
2025-05-02T10:04:00,130.05,131.2,127.45,127.75,205425,2908500
2025-05-02T10:05:00,126.9,133,126.5,132.3,186450,2908500
2025-05-02T10:06:00,132.6,133.7,128.25,128.4,185025,2898675
2025-05-02T10:07:00,128.5,130.45,126.2,126.2,136050,2898675
2025-05-02T10:08:00,126.15,127.65,123.65,125.7,170925,2898675
2025-05-02T10:09:00,126,127.45,122.1,123.7,145200,2899050
2025-05-02T10:10:00,123.3,124,119.9,122.8,193125,2899050
2025-05-02T10:11:00,122.85,124.85,122.25,123.85,81750,2899050
2025-05-02T10:12:00,123.5,127.15,123.5,125.65,116475,2915925
2025-05-02T10:13:00,125.95,126.75,116.75,118.1,235500,2915925
2025-05-02T10:14:00,118.75,122.45,117.05,121.85,144600,2915925
2025-05-02T10:15:00,121.85,126.35,119.75,126.2,208575,2946525
2025-05-02T10:16:00,126,126.4,123,123,143400,2946525
