timestamp,open,high,low,close,volume,oi
2025-05-02T09:16:00,208.65,208.65,197.4,205.45,899475,532575
2025-05-02T09:17:00,203.9,221.6,203.9,214.25,1247925,532575
2025-05-02T09:18:00,215.7,215.7,202.45,202.45,855975,1333125
2025-05-02T09:19:00,200.8,204.05,193.8,194.7,786750,1333125
2025-05-02T09:20:00,196.6,203.9,195.6,198.2,713250,1333125
2025-05-02T09:21:00,196.7,204.75,187.65,191.25,940575,1946175
2025-05-02T09:22:00,187.4,194.35,183.8,190.6,726225,1946175
2025-05-02T09:23:00,187.3,195.3,182,195.3,799875,1946175
2025-05-02T09:24:00,193.6,194.05,177.65,177.65,862650,2591025
2025-05-02T09:25:00,179.45,194.8,177.05,194.8,933300,2591025
2025-05-02T09:26:00,194.6,211.7,194.6,210.65,1875525,2591025
2025-05-02T09:27:00,211.55,211.55,201.4,208.25,982875,2909400
2025-05-02T09:28:00,209.9,230,207.7,230,1398975,2909400
2025-05-02T09:29:00,228.95,239.1,226.3,239.1,1571775,2909400
2025-05-02T09:30:00,240.5,259.95,235,257.2,1502175,2252025
2025-05-02T09:31:00,260.7,268.5,245.7,251.4,1078575,2252025
2025-05-02T09:32:00,250.6,253.5,243.5,249.3,359325,2252025
2025-05-02T09:33:00,251.3,258.4,249.15,254.95,267075,1938975
2025-05-02T09:34:00,256.1,270.9,255.5,266.4,426000,1938975
2025-05-02T09:35:00,265,267.5,255.3,260.65,280875,1938975
2025-05-02T09:36:00,261.85,267.1,258.85,264,144300,1826775
2025-05-02T09:37:00,263.1,263.85,251.05,261.95,236700,1826775
2025-05-02T09:38:00,260.25,264.6,253.65,261.65,134850,1826775
2025-05-02T09:39:00,260,280,256.1,280,192975,1810725
2025-05-02T09:40:00,277.45,286,273.35,274.6,570075,1810725
2025-05-02T09:41:00,276.05,278.45,268.95,278.45,194775,1810725
2025-05-02T09:42:00,281,284.05,275.1,281.55,184650,1647075
2025-05-02T09:43:00,279.7,280.5,257.4,265.2,256425,1647075
2025-05-02T09:44:00,267.2,274.65,266.75,274.65,116850,1647075
2025-05-02T09:45:00,273.4,278,268.9,275,151800,1605225
2025-05-02T09:46:00,272.55,272.9,263.6,263.6,80400,1605225
2025-05-02T09:47:00,264.45,274.7,264.45,268.7,79575,1605225
2025-05-02T09:48:00,270.4,279.65,269.8,273.3,123975,1554075
2025-05-02T09:49:00,273.1,296.85,273.1,285.3,265050,1554075
2025-05-02T09:50:00,285.35,291.55,278.6,281.85,171675,1554075
2025-05-02T09:51:00,280.25,285.9,277.5,285.85,92925,1516575
2025-05-02T09:52:00,285.45,286.6,277.55,278.9,69450,1516575
2025-05-02T09:53:00,279,289.9,276.6,286.75,108000,1516575
2025-05-02T09:54:00,287.75,292.65,283.1,291.35,128700,1501725
2025-05-02T09:55:00,291.7,307.9,291,295.2,314700,1501725
2025-05-02T09:56:00,295.55,304.8,295.2,302.55,89925,1501725
2025-05-02T09:57:00,301,313,297.95,308.7,178125,1459050
2025-05-02T09:58:00,308,308,302,306,78150,1459050
2025-05-02T09:59:00,304.65,305.35,299.7,300.85,68400,1459050
2025-05-02T10:00:00,301.95,310.5,301.95,305.85,92025,1416675
2025-05-02T10:01:00,305.3,310.3,302.05,307.65,65925,1416675
2025-05-02T10:02:00,308.15,319.9,302.65,305,120450,1416675
2025-05-02T10:03:00,303.75,306.55,296.95,296.95,87375,1393725
2025-05-02T10:04:00,297.25,302.4,292.4,302.4,88275,1393725
2025-05-02T10:05:00,303.6,303.7,294.3,295.95,49500,1393725
2025-05-02T10:06:00,293,301.7,291.35,301.7,73500,1370625
2025-05-02T10:07:00,301.2,305,296.3,305,53250,1370625
2025-05-02T10:08:00,304.75,307,300,304.95,52200,1370625
2025-05-02T10:09:00,303.4,312.05,301.6,308.55,58575,1342950
2025-05-02T10:10:00,308.75,311.7,305.85,305.85,51300,1342950
2025-05-02T10:11:00,307.6,311.9,303,307.8,45975,1342950
2025-05-02T10:12:00,308.95,308.95,299.95,302.7,65850,1329225
2025-05-02T10:13:00,302.55,311,299.25,309.1,68025,1329225
2025-05-02T10:14:00,308.05,310.1,302.2,302.2,38100,1329225
2025-05-02T10:15:00,302.35,306,292.8,292.8,76350,1342575
2025-05-02T10:16:00,293.2,299.75,289.95,299.75,60000,1342575
2025-05-02T10:17:00,300.55,305,291.1,293.3,43875,1342575
2025-05-02T10:18:00,293.85,298.8,292.55,296.35,20475,1348425
2025-05-02T10:19:00,298.15,301.65,284.9,285.6,71400,1348425
2025-05-02T10:20:00,288.35,293,287.1,288,63975,1348425
2025-05-02T10:21:00,289.6,289.6,273.9,277.6,139125,1342875
2025-05-02T10:22:00,277.95,283.85,277.15,282.05,69750,1342875
2025-05-02T10:23:00,283,288.1,281.4,287.1,42375,1342875
2025-05-02T10:24:00,286.7,286.85,276.6,279.05,46725,1316100
2025-05-02T10:25:00,276.5,285,276.5,281.7,29625,1316100
2025-05-02T10:26:00,278.7,279.85,270.2,270.45,98925,1316100
2025-05-02T10:27:00,271.3,274.15,263.75,265.15,124725,1323300
2025-05-02T10:28:00,264.05,265.95,256.65,256.65,113925,1323300
2025-05-02T10:29:00,257.3,262.7,252.5,254.1,116550,1323300
2025-05-02T10:30:00,251.45,254,238.4,243.7,238650,1353675
2025-05-02T10:31:00,241.45,244.75,233.7,244,219150,1353675
2025-05-02T10:32:00,245.7,251.85,235.7,239.95,225600,1353675
2025-05-02T10:33:00,240.9,243.15,235.15,238.4,108150,1426350
2025-05-02T10:34:00,237.5,238.55,227.9,231.05,189525,1426350
2025-05-02T10:35:00,231.05,235.95,225.8,227.1,150375,1426350
2025-05-02T10:36:00,228.85,230,214.95,216.05,237750,1471050
2025-05-02T10:37:00,215.45,223.05,211.3,223.05,405825,1471050
2025-05-02T10:38:00,224.5,235.8,224.5,235.45,319425,1471050
2025-05-02T10:39:00,236.15,247.85,233.6,243,522150,1548075
2025-05-02T10:40:00,242.7,245.05,235,245.05,163125,1548075
2025-05-02T10:41:00,245.25,250,241.95,243.55,227025,1548075
2025-05-02T10:42:00,243,248.8,239.65,247.9,139275,1571925
2025-05-02T10:43:00,245.95,245.95,238.7,239.95,86775,1571925
2025-05-02T10:44:00,238.95,242,228.75,233.65,211050,1571925
2025-05-02T10:45:00,231.35,238.55,228.9,237.6,117450,1591575
2025-05-02T10:46:00,237.25,237.25,222.4,224.05,146250,1591575
2025-05-02T10:47:00,224.85,228.15,221.25,227.15,200250,1591575
2025-05-02T10:48:00,227.3,228,219.85,225.2,122775,1649250
2025-05-02T10:49:00,225.1,226.65,219.4,221.9,99000,1649250
2025-05-02T10:50:00,224.1,226.75,219.55,219.55,110100,1649250
2025-05-02T10:51:00,220.85,231.7,220.85,224.5,137100,1659600
2025-05-02T10:52:00,222.75,222.75,209.55,209.65,266850,1659600
2025-05-02T10:53:00,210.7,212.25,201.1,201.35,281625,1659600
2025-05-02T10:54:00,201.75,202.8,183.85,184.8,567975,1757475
2025-05-02T10:55:00,185.2,190.8,182.85,182.85,498675,1757475
2025-05-02T10:56:00,183.95,183.95,175.6,179.45,519825,1757475
2025-05-02T10:57:00,179.75,192,178.35,188.9,599475,2003925
2025-05-02T10:58:00,189.85,196.65,188.25,196.65,472500,2003925
2025-05-02T10:59:00,196.7,196.7,185.15,185.15,513900,2003925
2025-05-02T11:00:00,187.1,194,186.25,193.7,431550,2235525
2025-05-02T11:01:00,193.4,193.4,188.05,188.4,257400,2235525
2025-05-02T11:02:00,189.4,191.6,185,190.75,291975,2235525
2025-05-02T11:03:00,189.85,193.1,183.6,183.75,280350,2335575
2025-05-02T11:04:00,183.75,186,178,179.2,353925,2335575
2025-05-02T11:05:00,178.25,182.9,177.7,182.8,241425,2335575
2025-05-02T11:06:00,183.85,192.2,183.35,191.95,407025,2383425
2025-05-02T11:07:00,191,192.25,186.65,187.4,248325,2383425
2025-05-02T11:08:00,188.35,190.25,184.6,185.6,188775,2383425
2025-05-02T11:09:00,186,187.6,180.8,185.5,283800,2499450
2025-05-02T11:10:00,185.05,187.05,176.4,176.65,327900,2499450
2025-05-02T11:11:00,178,183.2,177.3,182,237600,2499450
2025-05-02T11:12:00,182.3,182.5,165.7,168.75,616200,2650575
2025-05-02T11:13:00,168.6,179.85,168.6,176.55,473775,2650575
2025-05-02T11:14:00,176.9,180.65,174.7,180.65,245700,2650575
2025-05-02T11:15:00,180.75,181.2,175.45,176.55,296025,2753925
2025-05-02T11:16:00,178.2,188.25,177.65,187.5,397575,2753925
2025-05-02T11:17:00,187.7,192.75,186.8,187.9,528750,2753925
2025-05-02T11:18:00,185.8,185.8,177.5,181.1,381375,2765925
2025-05-02T11:19:00,180.35,182.05,172.7,174.35,333150,2765925
2025-05-02T11:20:00,174.75,176.95,172.6,174.9,330600,2765925
2025-05-02T11:21:00,174.65,177.8,168.9,170,378525,2814450
2025-05-02T11:22:00,168.95,174.85,168.95,171.8,255450,2814450
2025-05-02T11:23:00,173.45,173.45,161.5,163.35,527100,2814450
2025-05-02T11:24:00,163.75,167.9,156.4,157.5,433650,2865150
2025-05-02T11:25:00,157.8,163.25,157.1,161,307050,2865150
2025-05-02T11:26:00,161.3,163,158.4,161.4,225825,2865150
2025-05-02T11:27:00,163.8,166,162.85,165.3,244725,2862375
2025-05-02T11:28:00,166.1,167,162.3,164.1,229425,2862375
2025-05-02T11:29:00,163.85,165.6,160.15,160.5,125550,2862375
2025-05-02T11:30:00,160.1,161.3,154.35,156.95,297225,2956425
2025-05-02T11:31:00,157.65,157.9,147,150.05,409350,2956425
2025-05-02T11:32:00,150.35,150.35,143.25,143.25,374400,2956425
2025-05-02T11:33:00,143.8,148.2,140.75,142.95,289125,2952525
2025-05-02T11:34:00,141.45,141.45,131.65,135.65,594225,2952525
2025-05-02T11:35:00,137.5,141.4,136.3,139,306825,2952525
2025-05-02T11:36:00,140.15,146.1,140.15,143.6,275325,2952675
2025-05-02T11:37:00,143.15,144.6,139,139,178500,2952675
